CODICE_VIA,STATO,TIPO,DENOMINAZIONE,DATA_INTITOLAZIONE,ANNO_SOPPRESSIONE,DESCRITTIVO,ANNCSU,OPENSTREETMAP,PROGANNCSU
7441,2,1,SAPRI,19280518,0,SAPRI,SAPRI,SAPRI,
7442,2,7,CIMITERO MAGGIORE,,0,CIMITERO MAGGIORE,CIMITERO MAGGIORE,CIMITERO MAGGIORE,
7443,2,1,BARZAGHI FRANCESCO,,0,FRANCESCO BARZAGHI,FRANCESCO BARZAGHI,FRANCESCO BARZAGHI,
7444,2,1,TRIBONIANO,19320304,0,TRIBONIANO,TRIBONIANO,TRIBONIANO,
7445,2,1,ALASSIO,,0,ALASSIO,ALASSIO,ALASSIO,
7446,2,1,CANTONI ERMENEGILDO,,0,ERMENEGILDO CANTONI,ERMENEGILDO CANTONI,ERMENEGILDO CANTONI,
7447,2,1,BRUNETTI ANGELO,,0,ANGELO BRUNETTI,ANGELO BRUNETTI,ANGELO BRUNETTI,
7448,2,7,CACCIATORI DELLE ALPI,19280512,0,CACCIATORI DELLE ALPI,CACCIATORI DELLE ALPI,CACCIATORI DELLE ALPI,
7449,2,5,MAPELLI,,0,MAPELLI,MAPELLI,MAPELLI,
7450,2,1,ZAMBONI LUIGI,,0,LUIGI ZAMBONI,LUIGI ZAMBONI,LUIGI ZAMBONI,
7451,2,1,PALIZZI FILIPPO,19280518,0,FILIPPO PALIZZI,FILIPPO PALIZZI,FILIPPO PALIZZI,
7452,2,1,FATTORI GIOVANNI,19280518,0,GIOVANNI FATTORI,GIOVANNI FATTORI,GIOVANNI FATTORI,
7453,2,1,ANDERSEN GIOVANNI,,0,GIOVANNI CRISTIANO ANDERSEN,GIOVANNI CRISTIANO ANDERSEN,GIOVANNI CRISTIANO ANDERSEN,
7454,2,1,ERITREA,,0,ERITREA,ERITREA,ERITREA,
7455,2,1,MAMBRETTI ANTONIO,19280518,0,ANTONIO MAMBRETTI,ANTONIO MAMBRETTI,ANTONIO MAMBRETTI,
7456,2,1,STEPHENSON GIORGIO,,0,GIORGIO STEPHENSON,GIORGIO STEPHENSON,GIORGIO STEPHENSON,
